metaedge,network,xswap_auc,analytic_auc,degree_product_auc,xswap_analytic_pearson,xswap_degree_pearson,analytic_degree_pearson,xswap_analytic_spearman,xswap_degree_spearman,analytic_degree_spearman,xswap_mae,analytic_mae,degree_mae
AdG,Original,0.989388844018645,0.9891555450656258,0.989143747258867,0.9888247269413497,0.9893140230386338,0.9812316683017412,0.9999946642418862,0.9999936724219823,0.9999998075319122,0.016102612287139148,0.015863588345586977,1241.455097394384
AdG,Sample_50,0.9453516682910303,0.945275944044706,0.945249576204276,0.9963539419034977,0.9983289887224079,0.9937833414765264,0.9999993825372977,0.9999991597373135,0.9999998471335716,0.009741119250551952,0.009589567507692132,2635646.2689519976
AdG,Sample_20,0.8625894807927529,0.8625840669846863,0.8625734172431206,0.998363519344178,0.9993225422054611,0.9974223836195188,0.9999998807097948,0.9999998963720379,0.9999999130249274,0.010891597323268448,0.01086706996367012,10770043.879813867
GpPW,Original,0.9509655675489209,0.9510125357937433,0.9510227132259899,0.9934009556187052,0.9382766833658697,0.9386157704290693,0.9999660800645547,0.9999680890979298,0.9999984898466042,0.004119021054578555,0.004033436434921129,186.53606164700346
GpPW,Sample_50,0.9101998795420712,0.9101552063059818,0.9101574699258329,0.9963765508225045,0.9817066912953362,0.9799488800010223,0.99996720224756,0.9999819638797641,0.999990967566442,0.002113872725272773,0.0020971335990916037,385384.99250128056
GpPW,Sample_20,0.8562783008698427,0.8562770402792168,0.8562719616297718,0.9974586851179748,0.9928760801389093,0.9930251113713554,0.9999588753503976,0.9999774023708811,0.9999892027853778,0.002159841127619677,0.00215639203191783,1429691.4405073598
CtD,Original,0.9794953329120435,0.9795344517990454,0.979511752529576,0.9926812378925908,0.972427342733412,0.9715743759050459,0.9999892256351854,0.9999888665727849,0.9999983404528248,0.006321325545741523,0.006185783403602346,2.6773553314771616
CtD,Sample_50,0.711492106972333,0.7114513237872483,0.7115295341262802,0.9968094568480315,0.9921142223776904,0.9914244353774234,0.9999979984994428,0.9999982143924544,0.9999996151424134,0.00334344516548395,0.003317563927188802,4996241.725805464
CtD,Sample_20,0.6584990097608858,0.658443738078917,0.6584539186996252,0.9961024386176894,0.9953456894749207,0.997816779076913,0.9999993604217903,0.9999992414619338,0.9999998428524919,0.0034274262511978662,0.0034191834253420386,8287267.496665678
CcSE,Original,0.9634934684248215,0.9632010928043222,0.9631950102067831,0.9787225351128024,0.9183493803338747,0.9361001323808588,0.9955538636406872,0.9955157923029085,0.9999995906644994,0.02057171785021092,0.021058988999154874,2169.3372000618483
CcSE,Sample_50,0.9478280719426535,0.9476561441695649,0.9476520920760849,0.991636915231657,0.9815733085220297,0.9770090155252326,0.9997295356375618,0.9997198352318591,0.999998724785527,0.012195567473599869,0.012230766320720156,1173522.4788374265
CcSE,Sample_20,0.9383332866836863,0.9382661336342447,0.9382615952684107,0.9948989658481431,0.9927217835405114,0.9915575849463996,0.9999649943302082,0.999963981552033,0.9999973290162957,0.01384043678424307,0.013884223421074704,2829980.581166612
GcG,Original,0.9637774385869526,0.9638410266219659,0.9638769457880282,0.9833754833041257,0.9740009068941442,0.9890967857370287,0.9999784972891353,0.9999843575181526,0.9999862265836156,0.0005435389195142952,0.0005380972064593429,34.69966503342514
GcG,Sample_50,0.9012307104718853,0.9012318026337163,0.901238468882997,0.9886031356168173,0.986284591813063,0.9973912440124483,0.9999959268802738,0.9999929496044706,0.9999933507081727,0.0002752021699745253,0.0002742335476647191,95139.03125897018
GcG,Sample_20,0.8539962375766394,0.8539819222576002,0.8539950547385178,0.9864721672812824,0.9850007699847099,0.9990788193687935,0.9999925642172953,0.9999978176195183,0.9999982026056554,0.00027812305219752757,0.00027792107182956843,242658.0486698291
CpD,Original,0.9906288487090809,0.9906524196925357,0.9906486865126857,0.9963277253943095,0.9963014486464936,0.9948226059833531,0.9999980860488156,0.9999984889115981,0.9999996354026138,0.003293976343208228,0.003230998136647517,0.7135130559109037
CpD,Sample_50,0.7133943735910182,0.7134009474505626,0.7134105870536818,0.9977629027885543,0.9983891589925185,0.9982443078908286,0.9999994580067394,0.9999995036141288,0.9999999304737099,0.0017251456223942444,0.0017148841422572917,2567321.701020884
CpD,Sample_20,0.6061817548031696,0.6061741223134789,0.6061733048121488,0.9989572774494392,0.9989895855186046,0.9997040695176144,0.9999999570951368,0.9999999426614252,0.999999985566288,0.0017846554941042892,0.0017830657824860626,4991070.034100051
AuG,Original,0.9850809895213981,0.9849000163144793,0.984888770788426,0.9945395855869504,0.997630856720067,0.991770791084025,0.9999974626395802,0.9999971567027227,0.9999998395494828,0.017379400918638318,0.016636584451074483,1137.085312991025
AuG,Sample_50,0.933864634380311,0.933832538704771,0.9337923195017495,0.9980465245325303,0.9994884630365763,0.9971964829975616,0.9999996378458127,0.9999994217297925,0.9999997843156404,0.00990497673709508,0.009715192516255187,2900098.9659337155
AuG,Sample_20,0.8316711354194886,0.8316785543626348,0.8316603196298363,0.9989484361064415,0.9996601544388992,0.9986209620315156,0.9999997003512938,0.9999996645724701,0.9999998684210591,0.010739991179370929,0.010701527920530135,12574420.522828914
CiPC,Original,0.9007724050025818,0.9001915679058117,0.9002134842624729,0.9966176226380646,0.9957914028648513,0.9990310190731008,0.9994991223530455,0.9995525189411577,0.9999718306526125,0.003789518415000156,0.0037779194437433075,1.9755939040788884
CiPC,Sample_50,0.5472577534727752,0.5472365912297767,0.5472378791732121,0.9992468853961115,0.9992644858026231,0.9999253508614194,0.9999781656753848,0.999979814442564,0.9999994503001052,0.0019090028802424993,0.0019074855581928422,4013665.8235637136
CiPC,Sample_20,0.528068415971853,0.5280763747278538,0.5280762963001403,0.9988912121800135,0.9988689148623129,0.9999559301774068,0.9999988759674672,0.999998865066724,0.9999999833499043,0.001913538497972113,0.0019132315122222514,6170538.100204014
CCpG,Original,0.9597104910688956,0.9596711816272311,0.9596799581392047,0.9977175230855108,0.9966213341789919,0.9947623079866765,0.9999408534983136,0.9999553668129549,0.999989887883238,0.004759789480661002,0.00466246184765754,185.7551603348539
CCpG,Sample_50,0.9001992606098685,0.9002517564476094,0.900224885614823,0.9986794071309636,0.9986156325106824,0.9989039041207302,0.9999221778125984,0.9999469878326969,0.9999774152613893,0.0024374464679816784,0.0024205576100660617,611390.6865840559
CCpG,Sample_20,0.822999637107043,0.8230504770370514,0.823018867794699,0.9986198084252634,0.998670000749165,0.9996129150245859,0.9999666535417361,0.999962442043644,0.9999927917518215,0.002479114908300933,0.002475468197969735,2252710.9404243063
DrD,Original,0.8024732476562635,0.8055626461889867,0.8064200834233418,0.9815635913866678,0.9770165848570921,0.9915530271382549,0.9956131255684681,0.9956067785933563,0.9999331443699634,0.09610837682919618,0.09326631905094236,62.77958335553306
DrD,Sample_50,0.7216139126035201,0.7219427645379994,0.7232227021105083,0.9840813757395882,0.980450183218678,0.9975769611019001,0.998417701189771,0.9981336299927261,0.9996639569363847,0.053111820753422946,0.05259504377318659,18247595.335475788
DrD,Sample_20,0.6829670886997941,0.6830135096508774,0.6831996422765605,0.9812150414288366,0.9769609414540641,0.99839225074593,0.9997930322989838,0.9996549887731242,0.9998619941502652,0.05528364543716636,0.0551911218231318,63851926.32706706
GpMF,Original,0.9492872016964718,0.9493141632077912,0.9493285428956586,0.9985680328541643,0.9982816402664592,0.9976158078569985,0.9999097355931089,0.9999309562936303,0.9999738862193681,0.0030815770753508174,0.0030345744354752604,156.47646057354493
GpMF,Sample_50,0.8895559843438975,0.8896582247319011,0.8895919642914804,0.998931220860351,0.9989510837329996,0.9995096201063444,0.9998742129684721,0.9998726094141487,0.999947966381714,0.001568094973316884,0.0015601197010125948,386781.26276537287
GpMF,Sample_20,0.8160631075473997,0.816134608733627,0.8160703675794563,0.9989423361503708,0.9989233399654488,0.9998058692049581,0.9998968562679114,0.9999086645106163,0.9999843016128324,0.0015875826471378693,0.0015858821646669863,1428370.512506991
CbG,Original,0.993980985869215,0.9939614011569382,0.9939619594275564,0.9906552190282865,0.9448719223534415,0.9448237084807171,0.9999980778131843,0.99999809955816,0.9999994629718763,0.0006406110591438097,0.0006263013419122506,4.118434572136646
CbG,Sample_50,0.9021483546663543,0.9021575047747773,0.9021554974550987,0.995604377673225,0.9748592455375689,0.9733853506844808,0.9999985947191006,0.9999989411369263,0.999999748261246,0.00033242046354427295,0.00032938229746589005,169277.51259335977
CbG,Sample_20,0.8177770312248459,0.8177844413634945,0.8177831081636172,0.996504968597646,0.9942966636533824,0.9946268681480699,0.9999994642246689,0.9999995816468051,0.9999999514146987,0.00034432341851340644,0.00034376690138402695,443575.4716688052
BPpG,Original,0.9502365572190525,0.9501806083721518,0.9501789904483571,0.9951920043518425,0.9913091167351641,0.9902844888087612,0.9999245987944086,0.9999259364410961,0.9999975639886317,0.004431101772984979,0.0043401287817195966,1313.242191572528
BPpG,Sample_50,0.9387695289963875,0.9387479251733878,0.9387320784815847,0.9964764590206223,0.9960068438848406,0.9978010815135805,0.999961709050767,0.9999695636523679,0.9999867622951235,0.0022644658528359926,0.002248203237927134,85952.2071534905
BPpG,Sample_20,0.923706169004429,0.9237249442609181,0.92369952749778,0.9972229766610679,0.997145400832673,0.9993852714479028,0.9999189453717263,0.9999572266722908,0.9999781282744037,0.002303769285290306,0.0023003686223115067,363866.6978276002
DdG,Original,0.9752394680225173,0.9752468386136047,0.9752477108475448,0.9993816284779643,0.9999589358834097,0.9993360970446489,0.9999732001778947,0.9999730064693453,0.9999997841498389,0.005042385227988411,0.005001888725875971,20.24855016527471
DdG,Sample_50,0.5925633104194329,0.592563420196647,0.5925630792477673,0.9995737175151417,0.9997605213535633,0.9997838354795734,0.999982007012174,0.9999820165916463,0.9999999917074499,0.0025924591818532383,0.0025856096772720956,5389578.586465391
DdG,Sample_20,0.54909510697102,0.5490959055933616,0.5490957559357499,0.9995204204674243,0.9996694246012302,0.999871927788674,0.9999999607212727,0.9999999639897589,0.9999999991809352,0.00262378483418777,0.0026220646107200413,8257260.799450573
G<rG,Original,0.9950926826468459,0.9950386851591149,0.9950377100560216,0.9934275363359225,0.988522256698447,0.9831150980607012,0.9999983435171219,0.9999983000785454,0.9999999946987841,0.0010857082647509394,0.0010522513536890205,160.89005726042714
G<rG,Sample_50,0.9881373112910428,0.9881175444252984,0.9881131784796844,0.9970255524133662,0.9969085528702301,0.995931908121187,0.9999996214511206,0.9999995964474641,0.99999995302669,0.0005655063426619893,0.0005590195515217226,20284.954002153667
G<rG,Sample_20,0.9741379241223468,0.9741397222179838,0.9741317892508257,0.9982187912631592,0.9982341911387979,0.9988051694506829,0.9999994801122657,0.9999997524532676,0.9999998599704345,0.0005847944651106311,0.0005835022551415982,86982.545686738
AeG,Original,0.9873688708387607,0.9868655477905237,0.986853016872601,0.9783335660401459,0.9657700375937316,0.9755437399053963,0.9844576702072351,0.9844439571331253,0.9999997414250715,0.040732693271081546,0.05522771126379678,32910.62035751061
AeG,Sample_50,0.9820306613883046,0.9817773900445573,0.9817540840102645,0.9946337904939966,0.9979253437538701,0.9918435902977178,0.9997195977298037,0.9997068631065668,0.9999981868542406,0.037313918126414915,0.038823641642828685,835300.913991646
AeG,Sample_20,0.9703791311188413,0.9703066599158704,0.9702754852709692,0.998027637486433,0.9994311155997403,0.9969538864733977,0.9999213330296699,0.999920738575118,0.9999956119829423,0.04954509463446042,0.05011962006931009,4681520.695211808
GiG,Original,0.9693646269164118,0.9693923362874881,0.9694056208710029,0.9340029605741483,0.46879136890950907,0.5182506584818152,0.9999439349353422,0.9999483292169208,0.999990543398781,0.0012376441319971287,0.001224789700354433,197.4699216063442
GiG,Sample_50,0.9354731581205127,0.9354609616745669,0.9354710745641739,0.9706202706218865,0.5376439011260857,0.5675813446965702,0.9999881953726873,0.9999765624073014,0.9999860908251152,0.0006368295885508786,0.0006339545578361731,93493.55899489221
GiG,Sample_20,0.9009425432950097,0.9009353982021339,0.9009379090158004,0.9836785197798008,0.6256327284084854,0.6602948215707075,0.9999990651919852,0.9999909470047628,0.9999918247115355,0.0006525481413656853,0.0006524129301321852,303936.4209165
CuG,Original,0.9967984117926675,0.9967338747380274,0.9967323275234318,0.9943878774091393,0.9862795903572381,0.9791664459159951,0.9999981872095374,0.9999982541735046,0.9999996163121154,0.000999840803671137,0.0009645219456596569,10.821443865007272
CuG,Sample_50,0.9149874089418636,0.9149716076908113,0.9149716263282344,0.9967238260749877,0.9965102321393136,0.9941483536174228,0.9999992684096817,0.9999992360757226,0.9999998682666211,0.000528211707668859,0.0005206870456062822,239071.72896638693
CuG,Sample_20,0.8463275556213302,0.8463208891230302,0.8463214105261289,0.9977396122110601,0.9980512761656415,0.9986576709824377,0.9999996915932229,0.9999997476104932,0.999999973803679,0.0005520505119547352,0.0005505563710091582,606521.5261831176
CrC,Original,0.8717032242738686,0.8719554731442425,0.872470375186206,0.9968685683424446,0.9967379044961914,0.9994318599364584,0.9998703590220451,0.9998657402800463,0.9999782875969078,0.010390120610262664,0.010272496116610071,69.85491451004357
CrC,Sample_50,0.8249336023509122,0.8243606052598053,0.8249794667461752,0.9976258479811458,0.997472087880019,0.9998653518268764,0.9998137149613354,0.9999322344657321,0.9999403632238602,0.005279851935049669,0.005259929706980727,1247244.7954824956
CrC,Sample_20,0.794592518670569,0.7943765370730842,0.7947829218719339,0.9977971314003787,0.9978209760138839,0.9999649981466084,0.999981429872009,0.9999487261796819,0.9999546539168319,0.005331818203953958,0.0053278758085832535,3951667.3499078685
AlD,Original,0.7697108508087156,0.768807304083819,0.768762034920157,0.9936199650135896,0.9913418048916285,0.9890415354882739,0.9978760620947114,0.9978690555355003,0.9999789942045988,0.11346999779578408,0.10947776023376785,235.5158877147111
AlD,Sample_50,0.6998132937982363,0.7000906203950488,0.6995517386150807,0.9956244843397881,0.9953109988986407,0.9974991890815074,0.9987817732398365,0.9990225221017596,0.9998023104915492,0.06176075368800778,0.060978425728766376,7043457.968077375
AlD,Sample_20,0.6460198302390212,0.6465429681196728,0.6458714228887813,0.9971450663961292,0.9971282020919838,0.9987131016341944,0.9989011633855901,0.9993765538975723,0.9996630196950396,0.06333401060909435,0.06316881165361556,47977006.967884764
CdG,Original,0.9970615156124985,0.9970049714147257,0.997003098736965,0.9933788544678703,0.9791060924640127,0.9723767753081969,0.9999984222883114,0.9999986545567402,0.9999997443620356,0.001079383463822641,0.0010421439023990508,13.697918394518782
CdG,Sample_50,0.9342166378038956,0.9342010018129483,0.9341994045405475,0.9956710183513457,0.9953101431332091,0.9923139137055526,0.9999993472259782,0.9999993656585642,0.999999854224455,0.0005787080961969711,0.0005704959510928355,206435.52147126224
CdG,Sample_20,0.876057808399171,0.8760556506179809,0.8760558665814663,0.9966624446223882,0.9968546558568907,0.9972845127689579,0.9999996877405878,0.9999997526385614,0.999999965795721,0.0006125616908992153,0.0006111010763290678,549311.7455747101
DpS,Original,0.82886012830589,0.8285773192192132,0.8285400658449512,0.9921455620966696,0.9856635067440335,0.9824959889855547,0.9980615652074646,0.998000935223712,0.9999855289525423,0.09364721081781023,0.09036229796109022,187.74942505749425
DpS,Sample_50,0.7642838279210795,0.7643453721628684,0.7642125769493715,0.9957714591805824,0.9953557124849997,0.9961643403412405,0.9993213949360807,0.9993957605008651,0.9999012223829945,0.051511951750963535,0.05079081581856323,9076892.502181545
DpS,Sample_20,0.7161166534644218,0.7158967912500416,0.7155908423480943,0.996140114272028,0.9961467907555758,0.9984176010194932,0.9995686246077489,0.9996803096576673,0.9998156126263239,0.053565988621174364,0.0534341459564649,43381322.87702642
DuG,Original,0.9763128891152083,0.9763335008783983,0.9763187468767341,0.9990657810361953,0.9999093861549184,0.9990315103307427,0.9999651101867477,0.9999668252769515,0.9999984447516087,0.005093166023007613,0.005045626628865642,20.826401437201707
DuG,Sample_50,0.6077281065356634,0.6077288047777029,0.6077289693753315,0.9995666343588958,0.9997741952003326,0.9997391461227448,0.9999774371622421,0.9999774906664208,0.9999999932653979,0.0026230227417354374,0.0026155013089765805,5251816.320032501
DuG,Sample_20,0.5524597535404362,0.5524590081802989,0.5524590470405544,0.9994235826227337,0.999571935869418,0.9998293630466334,0.9999628038238313,0.9999628124408257,0.9999999992473942,0.002658823535660131,0.0026569963035161783,8311217.474680446
DaG,Original,0.967545764855342,0.9675265405443233,0.9675207311054485,0.9914301358796376,0.9760699113321694,0.9699464825354,0.9999610257100524,0.9999614450565664,0.9999993017456364,0.007814738362593963,0.00764976858746054,55.52516096206087
DaG,Sample_50,0.7549645540755582,0.7549070976004993,0.7549259135117403,0.9959932047824295,0.9944093642125983,0.9923677740504971,0.9999962440419348,0.9999968885916917,0.9999994434720547,0.0041091822796804015,0.004074313940905672,4706569.37146774
DaG,Sample_20,0.6862243356431186,0.6861916629083852,0.6862072055214827,0.9978225378617043,0.9975822960970933,0.9968863661717153,0.999999091181332,0.9999993584139557,0.9999998317151413,0.00424182149725461,0.004235376951963783,8951954.154802391
